year,category,motivation,prizeShare,laureateID,fullName,gender,born,bornCountry,bornCity,died,diedCountry,diedCity,organizationName,organizationCountry,organizationCity
2021,literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,1004,Abdulrazak Gurnah,male,1948-00-00,Tanzania,,0000-00-00,,,,,
2021,chemistry,for the development of asymmetric organocatalysis,2,1003,David MacMillan,male,16-03-1968,United Kingdom,Bellshill,0000-00-00,,,Princeton University,USA,Princeton NJ
2021,physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,2,1001,Giorgio Parisi,male,4/8/1948,Italy,Rome,0000-00-00,,,Sapienza University of Rome,Italy,Rome
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,4,1000,Klaus Hasselmann,male,25-10-1931,Germany,Hamburg,0000-00-00,,,Max Planck Institute for Meteorology,Germany,Hamburg
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,4,999,Syukuro Manabe,male,21-09-1931,Japan,Shingu Ehime,0000-00-00,,,Princeton University,USA,Princeton NJ
2021,medicine,for their discoveries of receptors for temperature and touch,2,998,Ardem Patapoutian,male,1967-00-00,Lebanon,Beirut,0000-00-00,,,Scripps Research,USA,La Jolla CA
2021,medicine,for their discoveries of receptors for temperature and touch,2,997,David Julius,male,4/11/1955,USA,New York NY,0000-00-00,,,University of California,USA,San Francisco CA
2020,literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal,1,993,Louise Gluck,female,22-04-1943,USA,New York NY,10/13/2023,USA,Cambridge MA,,,
2020,economics,for improvements to auction theory and inventions of new auction formats,2,996,Robert Wilson,male,16-05-1937,USA,Geneva NE,0000-00-00,,,Stanford University,USA,Stanford CA
2020,economics,for improvements to auction theory and inventions of new auction formats,2,995,Paul Milgrom,male,20-04-1948,USA,Detroit MI,0000-00-00,,,Stanford University,USA,Stanford CA
2020,peace,for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict,1,994,World Food Programme ,org,1961-00-00,,,,,,,,
2020,chemistry,for the development of a method for genome editing,2,992,Jennifer A. Doudna,female,19-02-1964,USA,Washington D.C.,0000-00-00,,,University of California,USA,Berkeley CA
2020,chemistry,for the development of a method for genome editing,2,991,Emmanuelle Charpentier,female,11/12/1968,France,Juvisy-sur-Orge,0000-00-00,,,Max Planck Unit for the Science of Pathogens,Germany,Berlin
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,4,990,Andrea Ghez,female,16-06-1965,USA,New York NY,0000-00-00,,,University of California,USA,Los Angeles CA
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,4,989,Reinhard Genzel,male,24-03-1952,Germany,Bad Homburg vor der Hohe,0000-00-00,,,Max Planck Institute for Extraterrestrial Physics,Germany,Garching
2020,physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity,2,988,Roger Penrose,male,8/8/1931,United Kingdom,Colchester,0000-00-00,,,University of Oxford,United Kingdom,Oxford
2020,medicine,for the discovery of Hepatitis C virus,3,987,Charles Rice,male,25-08-1952,USA,Sacramento CA,0000-00-00,,,Rockefeller University,USA,New York NY
2020,medicine,for the discovery of Hepatitis C virus,3,986,Michael Houghton,male,1949-00-00,United Kingdom,,0000-00-00,,,University of Alberta,Canada,Edmonton
2020,medicine,for the discovery of Hepatitis C virus,3,985,Harvey Alter,male,12/9/1935,USA,New York NY,0000-00-00,,,National Institutes of Health,USA,Bethesda MD
2019,economics,for their experimental approach to alleviating global poverty,3,984,Michael Kremer,male,12/11/1964,USA,New York NY,0000-00-00,,,Harvard University,USA,Cambridge MA
2019,economics,for their experimental approach to alleviating global poverty,3,983,Esther Duflo,female,25-10-1972,France,Paris,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2019,economics,for their experimental approach to alleviating global poverty,3,982,Abhijit Banerjee,male,21-02-1961,India,Mumbai,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2019,peace,for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea,1,981,Abiy Ahmed Ali,male,15-08-1976,Ethiopia,Beshasha,0000-00-00,,,,,
2019,literature,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,1,980,Peter Handke,male,6/12/1942,Austria,Griffen,0000-00-00,,,,,
2019,chemistry,for the development of lithium-ion batteries,3,978,Akira Yoshino,male,30-01-1948,Japan,Suita,0000-00-00,,,Asahi Kasei Corporation,Japan,Tokyo
2019,chemistry,for the development of lithium-ion batteries,3,977,M. Stanley Whittingham,male,22-12-1941,United Kingdom,,0000-00-00,,,Binghamton University State University of New York,USA,New York NY
2019,chemistry,for the development of lithium-ion batteries,3,976,John Goodenough,male,25-07-1922,Germany,Jena,6/25/2023,USA,Austin TX,University of Texas,USA,Austin TX
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,4,975,Didier Queloz,male,23-02-1966,Switzerland,Geneva,0000-00-00,,,University of Geneva,Switzerland,Geneva
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,4,974,Michel Mayor,male,12/1/1942,Switzerland,Lausanne,0000-00-00,,,University of Geneva,Switzerland,Geneva
2019,physics,for theoretical discoveries in physical cosmology,2,973,James Peebles,male,25-04-1935,Canada,Winnipeg,0000-00-00,,,Princeton University,USA,Princeton NJ
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,3,972,Gregg Semenza,male,12/7/1956,USA,New York NY,0000-00-00,,,Johns Hopkins University,USA,Baltimore MD
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,3,971,Peter Ratcliffe,male,14-05-1954,United Kingdom,Lancashire,0000-00-00,,,University of Oxford,United Kingdom,Oxford
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,3,970,William Kaelin,male,23-11-1957,USA,New York NY,0000-00-00,,,Harvard Medical School,USA,Boston MA
2018,physics,for their method of generating high-intensity ultra-short optical pulses,4,961,Gerard Mourou,male,22-06-1944,France,Albertville,0000-00-00,,,Ecole Polytechnique,France,Palaiseau
2018,literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,1,979,Olga Tokarczuk,female,29-01-1962,Poland,Sulechow,0000-00-00,,,,,
2018,economics,for integrating technological innovations into long-run macroeconomic analysis,2,969,Paul M. Romer,male,1955-00-00,USA,Denver CO,0000-00-00,,,NYU Stern School of Business,USA,New York NY
2018,economics,for integrating climate change into long-run macroeconomic analysis,2,968,William D. Nordhaus,male,31-05-1941,USA,Albuquerque NM,0000-00-00,,,Yale University,USA,New Haven CT
2018,peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,2,967,Nadia Murad,female,1993-00-00,Iraq,Kojo,0000-00-00,,,,,
2018,peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,2,966,Denis Mukwege,male,1/3/1955,Democratic Republic of the Congo,Bukavu,0000-00-00,,,,,
2018,chemistry,for the phage display of peptides and antibodies,4,965,Sir Gregory P. Winter,male,14-04-1951,United Kingdom,Leicester,0000-00-00,,,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge
2018,chemistry,for the phage display of peptides and antibodies,4,964,George P. Smith,male,10/3/1941,USA,Norwalk CT,0000-00-00,,,University of Missouri,USA,Columbia
2018,chemistry,for the directed evolution of enzymes,2,963,Frances H. Arnold,female,25-07-1956,USA,Pittsburgh PA,0000-00-00,,,California Institute of Technology (Caltech),USA,Pasadena CA
2018,physics,for their method of generating high-intensity ultra-short optical pulses,4,962,Donna Strickland,female,27-05-1959,Canada,Guelph,0000-00-00,,,University of Waterloo,Canada,Waterloo
2018,physics,for the optical tweezers and their application to biological systems,2,960,Arthur Ashkin,male,2/9/1922,USA,New York NY,9/21/2020,USA,Rumson NJ,Bell Laboratories,USA,Holmdel NJ
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,2,959,Tasuku Honjo,male,27-01-1942,Japan,Kyoto,0000-00-00,,,Kyoto University,Japan,Kyoto
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,2,958,James P. Allison,male,7/8/1948,USA,Alice TX,0000-00-00,,,Parker Institute for Cancer Immunotherapy,USA,San Francisco CA
2017,economics,for his contributions to behavioural economics,1,949,Richard H. Thaler,male,12/9/1945,USA,East Orange NJ,0000-00-00,,,University of Chicago,USA,Chicago IL
2017,peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,1,948,International Campaign to Abolish Nuclear Weapons ,org,2007-00-00,,,,,,,,
2017,literature,who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world,1,947,Kazuo Ishiguro,male,8/11/1954,Japan,Nagasaki,0000-00-00,,,,,
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,3,946,Richard Henderson,male,19-07-1945,Scotland,Edinburgh,0000-00-00,,,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,3,945,Joachim Frank,male,12/9/1940,Germany,Siegen,0000-00-00,,,Columbia University,USA,New York NY
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,3,944,Jacques Dubochet,male,8/6/1942,Switzerland,Aigle,0000-00-00,,,University of Lausanne,Switzerland,Lausanne
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,4,943,Kip S. Thorne,male,1/6/1940,USA,Logan UT,0000-00-00,,,LIGO/VIRGO Collaboration,,
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,4,942,Barry C. Barish,male,27-01-1936,USA,Omaha NE,0000-00-00,,,LIGO/VIRGO Collaboration,,
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,2,941,Rainer Weiss,male,29-09-1932,Germany,Berlin,0000-00-00,,,LIGO/VIRGO Collaboration,,
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,3,940,Michael W. Young,male,28-03-1949,USA,Miami FL,0000-00-00,,,Rockefeller University,USA,New York NY
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,3,939,Michael Rosbash,male,7/3/1944,USA,Kansas City MO,0000-00-00,,,Brandeis University,USA,Waltham MA
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,3,938,Jeffrey C. Hall,male,3/5/1945,USA,New York NY,0000-00-00,,,University of Maine,USA,Maine ME
2016,economics,for their contributions to contract theory,2,936,Bengt Holmstrom,male,18-04-1949,Finland,Helsinki,0000-00-00,,,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2016,peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,1,934,Juan Manuel Santos,male,10/8/1951,Colombia,Bogota,0000-00-00,,,,,
2016,literature,for having created new poetic expressions within the great American song tradition,1,937,Bob Dylan,male,24-05-1941,USA,Duluth MN,0000-00-00,,,,,
2016,economics,for their contributions to contract theory,2,935,Oliver Hart,male,9/10/1948,United Kingdom,London,0000-00-00,,,Harvard University,USA,Cambridge MA
2016,chemistry,for the design and synthesis of molecular machines,3,933,Bernard L. Feringa,male,18-05-1951,the Netherlands,Barger-Compascuum,0000-00-00,,,University of Groningen,the Netherlands,Groningen
2016,chemistry,for the design and synthesis of molecular machines,3,932,Sir J. Fraser Stoddart,male,24-05-1942,United Kingdom,Edinburgh,0000-00-00,,,Northwestern University,USA,Evanston IL
2016,chemistry,for the design and synthesis of molecular machines,3,931,Jean-Pierre Sauvage,male,21-10-1944,France,Paris,0000-00-00,,,University of Strasbourg,France,Strasbourg
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,4,930,J. Michael Kosterlitz,male,22-06-1943,United Kingdom,Aberdeen,0000-00-00,,,Brown University,USA,Providence RI
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,4,929,F. Duncan M. Haldane,male,14-09-1951,United Kingdom,London,0000-00-00,,,Princeton University,USA,Princeton NJ
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,2,928,David J. Thouless,male,21-09-1934,United Kingdom,Bearsden,4/6/2019,United Kingdom,Cambridge,University of Washington,USA,Seattle WA
2016,medicine,for his discoveries of mechanisms for autophagy,1,927,Yoshinori Ohsumi,male,9/2/1945,Japan,Fukuoka,0000-00-00,,,Tokyo Institute of Technology,Japan,Tokyo
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,4,917,Satoshi Omura,male,12/7/1935,Japan,Yamanashi Prefecture,0000-00-00,,,Kitasato University,Japan,Tokyo
2015,economics,for his analysis of consumption poverty and welfare,1,926,Angus Deaton,male,19-10-1945,Scotland,Edinburgh,0000-00-00,,,Princeton University,USA,Princeton NJ
2015,peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,1,925,National Dialogue Quartet ,org,13-07-2013,,,,,,,,
2015,literature,for her polyphonic writings a monument to suffering and courage in our time,1,924,Svetlana Alexievich,female,31-05-1948,Ukraine,Ivano-Frankivsk,0000-00-00,,,,,
2015,chemistry,for mechanistic studies of DNA repair,3,923,Aziz Sancar,male,8/9/1946,Turkey,Savur,0000-00-00,,,University of North Carolina,USA,Chapel Hill NC
2015,chemistry,for mechanistic studies of DNA repair,3,922,Paul Modrich,male,13-06-1946,USA,Raton NM,0000-00-00,,,Howard Hughes Medical Institute,USA,Durham NC
2015,chemistry,for mechanistic studies of DNA repair,3,921,Tomas Lindahl,male,28-01-1938,Sweden,Stockholm,0000-00-00,,,Francis Crick Institute,United Kingdom,Hertfordshire
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,2,920,Arthur B. McDonald,male,29-08-1943,Canada,Sydney,0000-00-00,,,Queen's University,Canada,Kingston
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,2,919,Takaaki Kajita,male,9/3/1959,Japan,Higashimatsuyama,0000-00-00,,,University of Tokyo,Japan,Kashiwa
2015,medicine,for her discoveries concerning a novel therapy against Malaria,2,918,Youyou Tu,female,30-12-1930,China,Zhejiang Ningbo,0000-00-00,,,China Academy of Traditional Chinese Medicine,China,Beijing
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,4,916,William C. Campbell,male,28-06-1930,Ireland,Ramelton,0000-00-00,,,Drew University,USA,Madison NJ
2014,chemistry,for the development of super-resolved fluorescence microscopy,3,910,Stefan W. Hell,male,23-12-1962,Romania,Arad,0000-00-00,,,Max Planck Institute for Biophysical Chemistry,Germany,Gottingen
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,4,904,May-Britt Moser,female,4/1/1963,Norway,Fosnavag,0000-00-00,,,Norwegian University of Science and Technology (NTNU),Norway,Trondheim
2014,economics,for his analysis of market power and regulation,1,915,Jean Tirole,male,9/8/1953,France,Troyes,0000-00-00,,,Toulouse School of Economics (TSE),France,Toulouse
2014,peace,for their struggle against the suppression of children and young people and for the right of all children to education,2,914,Malala Yousafzai,female,12/7/1997,Pakistan,Mingora,0000-00-00,,,,,
2014,peace,for their struggle against the suppression of children and young people and for the right of all children to education,2,913,Kailash Satyarthi,male,11/1/1954,India,Vidisha,0000-00-00,,,,,
2014,literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",1,912,Patrick Modiano,male,30-07-1945,France,Paris,0000-00-00,,,,,
2014,chemistry,for the development of super-resolved fluorescence microscopy,3,911,William E. Moerner,male,24-06-1953,USA,Pleasanton CA,0000-00-00,,,Stanford University,USA,Stanford CA
2014,chemistry,for the development of super-resolved fluorescence microscopy,3,909,Eric Betzig,male,13-01-1960,USA,Ann Arbor MI,0000-00-00,,,Janelia Research Campus Howard Hughes Medical Institute,USA,Ashburn VA
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,3,908,Shuji Nakamura,male,22-05-1954,Japan,Ikata,0000-00-00,,,University of California,USA,Santa Barbara CA
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,3,907,Hiroshi Amano,male,11/9/1960,Japan,Hamamatsu,0000-00-00,,,Nagoya University,Japan,Nagoya
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,3,906,Isamu Akasaki,male,30-01-1929,Japan,Chiran,4/1/2021,Japan,Nagoya,Meijo University,Japan,Nagoya
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,4,905,Edvard I. Moser,male,27-04-1962,Norway,Alesund,0000-00-00,,,Norwegian University of Science and Technology (NTNU),Norway,Trondheim
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,2,903,John O'Keefe,male,18-11-1939,USA,New York NY,0000-00-00,,,University College,United Kingdom,London
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,3,886,Thomas C. Sudhof,male,22-12-1955,Germany,Gottingen,0000-00-00,,,Stanford University,USA,Stanford CA
2013,chemistry,for the development of multiscale models for complex chemical systems,3,889,Martin Karplus,male,15-03-1930,Austria,Vienna,0000-00-00,,,Universite de Strasbourg,France,Strasbourg
2013,physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,2,887,Franois Englert,male,6/11/1932,Belgium,Etterbeek,0000-00-00,,,Universite Libre de Bruxelles,Belgium,Brussels
2013,economics,for their empirical analysis of asset prices,3,896,Robert J. Shiller,male,29-03-1946,USA,Detroit MI,0000-00-00,,,Yale University,USA,New Haven CT
2013,economics,for their empirical analysis of asset prices,3,895,Lars Peter Hansen,male,26-10-1952,USA,Urbana IL,0000-00-00,,,University of Chicago,USA,Chicago IL
2013,economics,for their empirical analysis of asset prices,3,894,Eugene F. Fama,male,14-02-1939,USA,Boston MA,0000-00-00,,,University of Chicago,USA,Chicago IL
2013,peace,for its extensive efforts to eliminate chemical weapons,1,893,Organisation for the Prohibition of Chemical Weapons ,org,1997-00-00,,,,,,,,
2013,literature,master of the contemporary short story,1,892,Alice Munro,female,10/7/1931,Canada,Wingham,0000-00-00,,,,,
2013,chemistry,for the development of multiscale models for complex chemical systems,3,891,Arieh Warshel,male,20-11-1940,Israel,Kibbutz Sde Nahum,0000-00-00,,,University of Southern California,USA,Los Angeles CA
2013,chemistry,for the development of multiscale models for complex chemical systems,3,890,Michael Levitt,male,9/5/1947,South Africa,Pretoria,0000-00-00,,,Stanford University School of Medicine,USA,Stanford CA
2013,physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,2,888,Peter Higgs,male,29-05-1929,United Kingdom,Newcastle upon Tyne,0000-00-00,,,University of Edinburgh,United Kingdom,Edinburgh
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,3,885,Randy W. Schekman,male,30-12-1948,USA,St. Paul MN,0000-00-00,,,University of California,USA,Berkeley CA
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,3,884,James E. Rothman,male,3/11/1950,USA,Haverhill MA,0000-00-00,,,Yale University,USA,New Haven CT
2012,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,2,876,Serge Haroche,male,11/9/1944,Morocco,Casablanca,0000-00-00,,,College de France,France,Paris
2012,economics,for the theory of stable allocations and the practice of market design,2,883,Lloyd S. Shapley,male,2/6/1923,USA,Cambridge MA,3/12/2016,USA,Tucson AZ,University of California,USA,Los Angeles CA
2012,economics,for the theory of stable allocations and the practice of market design,2,882,Alvin E. Roth,male,18-12-1951,USA,New York NY,0000-00-00,,,Harvard University,USA,Cambridge MA
2012,peace,for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe,1,881,European Union ,org,1952-00-00,,,,,,,,
2012,literature,who with hallucinatory realism merges folk tales history and the contemporary,1,880,Mo Yan,male,25-03-1956,China,Gaomi,0000-00-00,,,,,
2012,chemistry,for studies of G-protein-coupled receptors,2,879,Brian Kobilka,male,30-05-1955,USA,Little Falls MN,0000-00-00,,,Stanford University School of Medicine,USA,Stanford CA
2012,chemistry,for studies of G-protein-coupled receptors,2,878,Robert J. Lefkowitz,male,15-04-1943,USA,New York NY,0000-00-00,,,Howard Hughes Medical Institute,USA,
2012,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,2,877,David J. Wineland,male,24-02-1944,USA,Milwaukee WI,0000-00-00,,,National Institute of Standards and Technology,USA,Boulder CO
2012,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,2,875,Shinya Yamanaka,male,4/9/1962,Japan,Osaka,0000-00-00,,,Kyoto University,Japan,Kyoto
2012,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,2,874,Sir John B. Gurdon,male,2/10/1933,United Kingdom,Dippenhall,0000-00-00,,,Gurdon Institute,United Kingdom,Cambridge
2011,economics,for their empirical research on cause and effect in the macroeconomy,2,873,Christopher A. Sims,male,21-10-1942,USA,Washington D.C.,0000-00-00,,,Princeton University,USA,Princeton NJ
2011,economics,for their empirical research on cause and effect in the macroeconomy,2,872,Thomas J. Sargent,male,19-07-1943,USA,Pasadena CA,0000-00-00,,,New York University,USA,New York NY
2011,peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,3,871,Tawakkol Karman,female,7/2/1979,Yemen,Ta'izz,0000-00-00,,,,,
2011,peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,3,870,Leymah Gbowee,female,1/2/1972,Liberia,Monrovia,0000-00-00,,,,,
